id,name,address,city,region,postCode,country,contact,phone,email,website,ecommerce
902A17,Aditya Books Pvt. Ltd,"B-116, Sector 67 Gautam Budh Nagar",Noida,,201 301,IN,Mr. Kailash Balani,9811073659,kailashbalani55@gmail.com,http://www.adityabooks.in,TRUE
902A04,Affiliated East-West Press Pvt,"G-1/16, Ansari Road, Daryaganj",New Delhi,,110 002,IN,Mr. Sunny Malik,9811814253,affiliat@vsnl.com,http://aewpress.com/contact.htm,FALSE
902A67,Ahuja Book Company Pvt Ltd,"4348/4C Ansari Road, Daryaganj",New Delhi,,110 002,IN,Mr. Tarun Ahuja,9999934366,tarun.ahuja@ahujabooks.com,http://www.ahujabooks.com/,TRUE
906A02,Allied Publishers Ltd,"1/13-14, Asaf Ali Road",New Delhi,,110 002,IN,Mr. RN Pourwar,9810114020,delhi.books@alliedpublishers.com,http://www.alliedpublishers.com/Contacts.aspx,FALSE
902A14,Ane Books Pvt Ltd,"4821, Parwana Bhawan, 24 Ansari Road, Darya Ganj",New Delhi,,110 002,IN,Mr. J R Kapoor,9899967183,kapoor@anebooks.com,http://www.anebooks.com/,FALSE
902A21,Atlantic Publishers & Distributors (P) Ltd,"7/22, Ansari Road, Daryaganj",New Delhi,,110 002,IN,Mr. Manish Gupta,9899995000,manish@atlanticbooks.com,http://www.atlanticbooks.com/,TRUE
902B78,Baroda Book Corporation,"20, Stop-N-Shop Plaza, Offtel Tower Premises, R.C. Dutt Road, Alkapuri",Baroda,,390 007,IN,Mr. Praveeen Doshi,0265 - 2358736/ 2325712,bbcorpo@gmail.com,,FALSE
902B10,Book World Enterprises,"Kalbadevi Road, Kolbhat X Lane, Chira Bazar, Dr MB Velkar Road, Marine Line East, Kalbadevi",Mumbai,,400 002,IN,,,,,FALSE
902B75,BSP Books Pvt. Ltd.,"4-4-309/316, Giriraj Lane, Sultan Bazar, Koti",Hyderabad,,500 095,IN,Mr Anil Shah,4023445688,anilshah@bspbooks.net,http://www.bspublications.net/contactbsp.php,FALSE
902C82,Capital Books Pvt. Ltd,"7/28, Mahaveer Street Ansari Road, Daryaganj",New Delhi,,110 002,IN,Mr. Raj Mirchandani,9810150806,capitalb@capital-publishing.com,http://www.capital-publishing.com/,FALSE
902C01,CBS Publishers & Distributors Pvt Ltd,"204, Patparganj Indl. Area",New Delhi,,110 092,IN,Mr. S.K Jain ,9810310858,cbspubs@airtelmail.in,http://www.cbspd.co.in/,TRUE
902C68,Cosmobooks,"Mangala Towers, Paliyam Road, North Bus Stand",Thrissur,,680 001,IN,Mr. Pepin Thomas,9846033939,cosmobooks@asianetindia.com,,FALSE
902D09,D.S Books International,"H. I. G. 17, Kalindipuram, Phase I, Ada Colony, Rajrooopar",Allahabad,,211 011,IN,Mr Sanjay Tiwari,0532 2560866 /9415235892,dsbi@gmail.com,,FALSE
902H20,Heritage Publishers,"19-A Ansari Road, Daryaganj",New Delhi,,110 002,IN,Mr Himashu chawla,011 23266258,info@heritagepublisher.in,http://www.heritagepublishers.in/,TRUE
K22536,I K International Pvt Ltd,"S-25, Green Park Extn, Uphaar Cinema Market",New Delhi,,110 016,IN,Mr. Krishan Makhijani,011 43205400,info@ikinternational.com,http://www.ikbooks.com/,TRUE
902I02,IBH Books & Mag. Distb. Pvt. Ltd.,"Rajendra Mansions 19-A, Ansari Road, Daryaganj",New Delhi,,110 002,IN,Mr. Sanjay Arora,8130144740,ebd-delhi@ibhworld.com,,FALSE
K18598,Infotech Standards India Pvt. Ltd,"4760-61 Sai Sarovar, 2nd Floor, 23, Ansari Road, Daryaganj",New Delhi,,110 002,IN,Mr. VS Rawat,9899087328,vsrawat@standardsmedia.com,http://www.standardsmedia.com/,TRUE
902I27,Insat Books & Periodicals,"Onkar House, Main Aggarwal Road, Daryaganj",Delhi,,110 002,IN,Mr Ramesh Kumar,011 23264151,insatbp@gmail.com,,FALSE
902I01,International Book Dist,"Building No. 4405/2, 5, Ansari Road, Daryaganj",New Delhi,,110 002,IN,Mr. Prem lal,011 23271052,ibdnewdelhi@gmail.com,,FALSE
