isbn,inrIsbn,format,currency,price,distributor1id,distributor2id,distributor3id,division,subject,status
9780415307956,,HB,INR,695.00,898R10,,,CRC,Civil & Mechanical Engineering,Print on Demand
9780415583534,,PB,INR,995.00,898R10,,,CRC,Civil & Mechanical Engineering,Print on Demand
9781439875407,,PB,INR,1350.00,898R10,,,CRC,Statistics,AVAILABLE
9780415045575,,PB,INR,2200.00,902A04,,,Humanities,Literature,Print on Demand
9780415045865,,PB,INR,2200.00,902A04,,,Humanities,Literature,Print on Demand
9780415046152,,PB,INR,2200.00,902A04,,,Humanities,Literature,Print on Demand
9780415104548,,PB,INR,2200.00,902A04,,,Humanities,Literature,Print on Demand
9780419258308,,PB,INR,895.00,902A04,,,CRC,Civil & Mechanical Engineering,AVAILABLE
9780748740697,,PB,INR,495.00,902A04,,,CRC,Chemistry,Print on Demand
9780415043014,,PB,INR,295.00,902A14,,,Social Sciences,Sociology,Out Of Print
9780415045216,,PB,INR,295.00,902A14,,,Humanities,Anthropology,Print on Demand
9780415083782,,PB,INR,240.00,902A14,,,Humanities,Literature,Out Of Print
9780415084949,,PB,INR,240.00,902A14,,,Humanities,Literature,Out Of Print
9780415092197,,PB,INR,240.00,902A14,,,Humanities,Literature,Out Of Print
9780415111607,,PB,INR,595.00,902A14,,,Humanities,Media & Cultural Studies,AVAILABLE
9780415134927,,PB,INR,240.00,902A14,,,Humanities,Literature,Out Of Print
9780415134941,,PB,INR,240.00,902A14,,,Humanities,Literature,Out Of Print
9780415147330,,PB,INR,240.00,902A14,,,Humanities,Literature,Print on Demand
9780415169141,,PB,INR,240.00,902A14,,,Humanities,Literature,Print on Demand
9780415174756,,PB,INR,240.00,902A14,,,Humanities,Literature,Out Of Print
9780415182232,,PB,INR,240.00,902A14,,,Humanities,Literature,Print on Demand
9780415186353,,PB,INR,240.00,902A14,,,Humanities,Literature,Out Of Print
9780415192095,,PB,INR,240.00,902A14,,,Humanities,Literature,Print on Demand
9780415195508,,PB,INR,595.00,902A14,,,Social Sciences,Business,Out Of Print
9780415196925,,PB,INR,240.00,902A14,,,Humanities,Literature,Out Of Print
9780415201919,,PB,INR,695.00,902A14,,,Social Sciences,Geography,Print on Demand
9780415215138,,PB,INR,395.00,902A14,,,Humanities,Literature,Print on Demand
9780415215152,,PB,INR,220.00,902A14,,,Humanities,Literature,Out Of Print
9780415215190,,PB,INR,395.00,902A14,,,Humanities,Literature,Print on Demand
9780415215213,,PB,INR,220.00,902A14,,,Humanities,Literature,Out Of Print
9780415215237,,PB,INR,395.00,902A14,,,Humanities,Literature,Print on Demand
9780415222228,,PB,INR,240.00,902A14,,,Humanities,Literature,Print on Demand
9780415225144,,HB,INR,995.00,902A14,,,Humanities,Media & Cultural Studies,Out Of Print
9780415229296,,PB,INR,220.00,902A14,,,Humanities,Literature,Out Of Print
9780415229319,,PB,INR,395.00,902A14,,,Humanities,Literature,Print on Demand
9780415229357,,PB,INR,395.00,902A14,,,Humanities,Literature,Print on Demand
9780415234962,,PB,INR,220.00,902A14,,,Humanities,Literature,Print on Demand
9780415236379,,PB,INR,220.00,902A14,,,Humanities,Literature,Print on Demand
9780415238625,,PB,INR,395.00,902A14,,,Social Sciences,Business,Print on Demand
9780415245692,,PB,INR,395.00,902A14,,,Humanities,Literature,Print on Demand
9780415246347,,PB,INR,395.00,902A14,,,Humanities,Literature,Print on Demand
9780415247528,,PB,INR,595.00,902A14,,,Humanities,Media & Cultural Studies,OEX No Returns
9780415247788,,PB,INR,220.00,902A14,,,Humanities,Literature,Out Of Print
9780415250092,,PB,INR,395.00,902A14,,,Humanities,Literature,Print on Demand
9780415251327,,PB,INR,240.00,902A14,,,Humanities,Literature,Out Of Print
9780415252898,,PB,INR,275.00,902A14,,,Humanities,Literature,Print on Demand
9780415256155,,PB,INR,395.00,902A14,,,Humanities,Literature,Print on Demand
9780415256179,,PB,INR,395.00,902A14,,,Humanities,Literature,Print on Demand
9780415256551,,PB,INR,595.00,902A14,,,Social Sciences,Business,Print on Demand
9780415257466,,PB,INR,225.00,902A14,,,Humanities,Media & Cultural Studies,Out Of Print
9780415261340,,PB,INR,495.00,902A14,,,Humanities,Linguistics,Out Of Print
9780415262149,,PB,INR,695.00,902A14,,,Social Sciences,Economics,Print on Demand
9780415262651,,PB,INR,220.00,902A14,,,Humanities,Literature,Print on Demand
9780415262675,,PB,INR,395.00,902A14,,,Humanities,Literature,Print on Demand
9780415263603,,PB,INR,395.00,902A14,,,Humanities,Literature,Print on Demand
9780415263627,,PB,INR,395.00,902A14,,,Humanities,Literature,Print on Demand
9780415263641,,PB,INR,395.00,902A14,,,Humanities,Literature,Print on Demand
9780415268486,,PB,INR,240.00,902A14,,,Humanities,Literature,Auto Stock Replenishment
9780415268547,,PB,INR,240.00,902A14,,,Humanities,Literature,Print on Demand
9780415270618,,PB,INR,495.00,902A14,,,Humanities,Linguistics,Out Of Print
9780415271714,,PB,INR,795.00,902A14,,,Social Sciences,Geography,Out Of Print
9780415280068,,PB,INR,275.00,902A14,,,Humanities,Literature,Print on Demand
9780415280181,,PB,INR,275.00,902A14,,,Humanities,Literature,Print on Demand
9780415281669,,PB,INR,240.00,902A14,,,Humanities,Literature,Print on Demand
9780415283328,,PB,INR,325.00,902A14,902A21,,Humanities,Philosophy,Out Of Print
9780415283366,,PB,INR,325.00,902A14,902A21,,Humanities,Philosophy,Out Of Print
9780415283502,,PB,INR,325.00,902A14,902A21,,Humanities,Philosophy,Print on Demand
9780415284219,,PB,INR,495.00,902A14,,,Social Sciences,Business,Print on Demand
9780415285292,,PB,INR,170.00,902A14,,,Social Sciences,,Print on Demand
9780415285315,,PB,INR,395.00,902A14,,,Social Sciences,Sociology,AVAILABLE
9780415285339,,PB,INR,170.00,902A14,,,Social Sciences,Sociology,Print on Demand
9780415285377,,PB,INR,395.00,902A14,,,Social Sciences,Sociology,Print on Demand
9780415285399,,PB,INR,170.00,902A14,,,,,unknown
9780415285414,,PB,INR,220.00,902A14,,,Humanities,Literature,Print on Demand
9780415286442,,HB,INR,5495.00,902A14,,,CRC,Civil & Mechanical Engineering,Print on Demand
9780415287623,,PB,INR,240.00,902A14,,,Humanities,Literature,Print on Demand
9780415287647,,PB,INR,295.00,902A14,,,Humanities,Literature,Out Of Print
9780415288170,,PB,INR,170.00,902A14,,,Social Sciences,Sociology,Print on Demand
9780415289757,,PB,INR,325.00,902A14,902A21,,Humanities,Philosophy,Out Of Print
9780415290104,,PB,INR,240.00,902A14,,,Humanities,Literature,Print on Demand
9780415290128,,PB,INR,240.00,902A14,,,Humanities,Literature,Print on Demand
9780415300445,,PB,INR,495.00,902A14,,,Social Sciences,Business,Print on Demand
9780415301091,,PB,INR,325.00,902A14,902A21,,Humanities,Philosophy,Print on Demand
9780415303309,,PB,INR,295.00,902A14,,,Social Sciences,Politics,Out Of Print
9780415311724,,PB,INR,240.00,902A14,,,Humanities,Literature,Out Of Print
9780415311854,,PB,INR,295.00,902A14,,,Social Sciences,Politics,Print on Demand
9780415314121,,PB,INR,295.00,902A14,,,Social Sciences,Economics,Out Of Print
9780415314510,,PB,INR,325.00,902A14,902A21,,Humanities,Philosophy,Out Of Print
9780415317856,,PB,INR,295.00,902A14,,,Humanities,Linguistics,Print on Demand
9780415318242,,PB,INR,240.00,902A14,,,Humanities,Literature,Print on Demand
9780415319485,,PB,INR,395.00,902A14,,,Humanities,Literature,Print on Demand
9780415321532,,PB,INR,275.00,902A14,,,Humanities,Literature,Print on Demand
9780415323772,,PB,INR,295.00,902A14,,,Europa,Europa,AVAILABLE
9780415324311,,PB,INR,220.00,902A14,,,Humanities,Literature,AVAILABLE
9780415324335,,PB,INR,220.00,902A14,,,Humanities,Literature,Print on Demand
9780415326056,,PB,GBP,12.99,902A14,,,Social Sciences,Politics,Print on Demand
9780415327329,,PB,INR,220.00,902A14,,,Humanities,Literature,Print on Demand
9780415328241,,PB,INR,220.00,902A14,,,Humanities,Literature,Print on Demand
9780415328265,,HB,INR,495.00,902A14,,,Social Sciences,Business,Auto Stock Replenishment
9780415333474,,PB,INR,325.00,902A14,902A21,,Humanities,Philosophy,AVAILABLE
9780415333825,,PB,INR,160.00,902A14,,,Humanities,Literature,Out Of Print
9780415335546,,PB,INR,295.00,902A14,,,Social Sciences,Criminology & Criminal Justice,Out Of Print
9780415338707,,PB,INR,495.00,902A14,,,Humanities,Linguistics,Print on Demand
9780415341066,,PB,INR,295.00,902A14,,,Humanities,Religion,Out Of Print
9780415343718,,PB,INR,395.00,902A14,,,Social Sciences,Business,Print on Demand
9780415343855,,PB,INR,220.00,902A14,,,Humanities,Literature,Temporarily Out Of Stock
9780415346382,,PB,INR,325.00,902A14,902A21,,Humanities,Philosophy,Print on Demand
9780415348096,,HB,INR,2995.00,902A14,,,,,unknown
9780415355049,,PB,INR,395.00,902A14,,,Social Sciences,Sociology,Print on Demand
9780415355919,,PB,INR,395.00,902A14,,,Social Sciences,Sociology,Print on Demand
9780415359641,,PB,INR,220.00,902A14,,,Humanities,Literature,AVAILABLE
9780415361392,,PB,INR,295.00,902A14,,,Humanities,Media & Cultural Studies,Out Of Print
9780415367776,,PB,INR,240.00,902A14,,,Humanities,Literature,AVAILABLE
9780415375856,,PB,INR,595.00,902A14,,,Social Sciences,Economics,Print on Demand
9780415380799,,PB,INR,295.00,902A14,,,Social Sciences,Business,Out Of Print
9780415384636,,PB,INR,295.00,902A14,,,Social Sciences,Economics,Out Of Print
9780415385428,,PB,INR,395.00,902A14,,,Social Sciences,Sociology,AVAILABLE
9780415390842,,PB,INR,895.00,902A14,,,Social Sciences,Geography,Out Of Print
9780415396882,,PB,INR,595.00,902A14,,,Social Sciences,Business,Print on Demand
9780415398459,,PB,INR,395.00,902A14,,,Social Sciences,Business,Print on Demand
9780415400046,,PB,INR,595.00,902A14,,,Social Sciences,Business,Print on Demand
9780415400138,,HB,INR,5495.00,902A14,,,Swets,Reference Books,Print on Demand
9780415401760,,PB,INR,295.00,902A14,,,Humanities,Religion,Print on Demand
9780415415538,,PB,INR,395.00,902A14,,,Social Sciences,Business,Print on Demand
9780415418195,,PB,INR,220.00,902A14,,,Humanities,Literature,AVAILABLE
9780415423335,,PB,INR,275.00,902A14,,,Humanities,Literature,AVAILABLE
9780415423953,,PB,INR,595.00,902A14,,,Social Sciences,Business,Print on Demand
9780415437622,,PB,INR,495.00,902A14,,,Social Sciences,Business,Print on Demand
9780415442480,,PB,INR,1995.00,902A14,,,,,unknown
9780415446501,,PB,GBP,14.99,902A14,,,Social Sciences,Politics,Print on Demand
9780415468282,,HB,INR,5995.00,902A14,,,Swets,Reference Books,Print on Demand
9780415468428,,PB,INR,795.00,902A14,,,CRC,Civil & Mechanical Engineering,Print on Demand
9780415469074,,HB,INR,5995.00,902A14,,,CRC,Civil & Mechanical Engineering,Print on Demand
9780415479332,,HB,INR,5495.00,902A14,,,CRC,Civil & Mechanical Engineering,Print on Demand
9780415489997,,HB,INR,2995.00,902A14,,,Social Sciences,"Tourism, Hospitality and Events Manageme",Print on Demand
9780415551052,,HB,INR,5495.00,902A14,,,Swets,Reference Books,Print on Demand
9780415552691,,HB,GBP,24.99,902A14,,,Social Sciences,Politics,Print on Demand
9780415560900,,HB,INR,2995.00,902A14,,,Social Sciences,"Tourism, Hospitality and Events Manageme",Print on Demand
9780415566322,,HB,INR,2995.00,902A14,,,Social Sciences,"Tourism, Hospitality and Events Manageme",Print on Demand
9780415567589,,HB,INR,2995.00,902A14,,,,,unknown
9780415578042,,HB,INR,2995.00,902A14,,,Social Sciences,"Tourism, Hospitality and Events Manageme",Print on Demand
9780415583855,,HB,INR,2995.00,902A14,,,Social Sciences,"Tourism, Hospitality and Events Manageme",Print on Demand
9780415596909,,PB,GBP,14.00,902A14,,,Social Sciences,Economics,Print on Demand
9780415607353,,PB,GBP,14.00,902A14,,,Social Sciences,Economics,Print on Demand
9780415700306,,PB,INR,240.00,902A14,,,Humanities,Literature,Print on Demand
9780415774550,,PB,GBP,14.99,902A14,,,Social Sciences,Politics,Out Of Print
9780415774598,,PB,INR,795.00,902A14,,,Social Sciences,Economics,Print on Demand
9780415777049,,HB,INR,2995.00,902A14,,,Social Sciences,"Tourism, Hospitality and Events Manageme",Print on Demand
9780415876766,,HB,INR,3000.00,902A14,,,Swets,Reference Books,AVAILABLE
9780415878784,,HB,INR,5995.00,902A14,,,Swets,Reference Books,AVAILABLE
9780415886451,,HB,INR,3995.00,902A14,,,Swets,Reference Books,AVAILABLE
9780415886529,,PB,GBP,19.99,902A14,,,Social Sciences,Business,AVAILABLE
9780415939966,,PB,INR,595.00,902A14,,,Humanities,Media & Cultural Studies,Print on Demand
9780415951609,,PB,GBP,19.99,902A14,,,Social Sciences,Politics,Print on Demand
9780415968010,,PB,INR,295.00,902A14,,,Humanities,Music,Out Of Print
9780415997829,,PB,INR,650.00,902A14,,,Social Sciences,Business,Print on Demand
9780582091375,,HB,INR,4995.00,902A14,,,CRC,Mathematics,Order To Order
9780582239623,,HB,INR,4995.00,902A14,,,CRC,Mathematics,Print on Demand
9780582273726,,HB,INR,4995.00,902A14,,,CRC,Mathematics,Order To Order
9780582286962,,HB,INR,4995.00,902A14,,,CRC,Mathematics,Order To Order
9780582286986,,HB,INR,4995.00,902A14,,,CRC,Mathematics,Order To Order
9780582292123,,HB,INR,3995.00,902A14,,,CRC,Mathematics,Order To Order
9780582292765,,HB,INR,3995.00,902A14,,,CRC,Mathematics,Order To Order
9780582292819,,HB,INR,4995.00,902A14,,,CRC,Mathematics,Order To Order
9780582294400,,HB,INR,3495.00,902A14,,,CRC,Mathematics,Order To Order
9780582297418,,HB,INR,4995.00,902A14,,,CRC,Mathematics,Print on Demand
9780582305939,,HB,INR,4995.00,902A14,,,CRC,Mathematics,Order To Order
9780582312609,,PB,INR,4995.00,902A14,,,CRC,Mathematics,Order To Order
9780582313200,,HB,INR,3995.00,902A14,,,CRC,Mathematics,Order To Order
9780582356436,,HB,INR,4995.00,902A14,,,CRC,Mathematics,Order To Order
9780582356832,,HB,INR,3495.00,902A14,,,CRC,Mathematics,Order To Order
9780582369269,,HB,INR,4995.00,902A14,,,CRC,Mathematics,Order To Order
9780748404155,,HB,INR,595.00,902A14,,,CRC,Life Science,AVAILABLE
9780748404308,,PB,INR,595.00,902A14,,,CRC,Life Science,Order To Order
9780748405169,,HB,INR,495.00,902A14,,,CRC,Chemistry,Print on Demand
9780748406548,,HB,INR,595.00,902A14,,,CRC,Life Science,Print on Demand
9780748406746,,HB,INR,595.00,902A14,,,CRC,Life Science,Print on Demand
9780748407460,,HB,INR,595.00,902A14,,,CRC,Life Science,Out Of Print
9780748407538,,PB,INR,495.00,902A14,,,CRC,Food & Nutrition,Print on Demand
9780748408436,,PB,INR,495.00,902A14,,,CRC,Life Science,Print on Demand
9780748754601,,PB,GBP,5.99,902A14,,,CRC,Mathematics,Print on Demand
9780750300339,,HB,INR,3995.00,902A14,,,CRC,Physics,Print on Demand
9780750302678,,HB,INR,3995.00,902A14,,,CRC,Physics,Print on Demand
9780750302814,,HB,INR,3995.00,902A14,,,CRC,Physics,Print on Demand
9780750304085,,HB,INR,3995.00,902A14,,,CRC,Physics,Print on Demand
9780750305211,,HB,INR,2995.00,902A14,,,CRC,Physics,Print on Demand
9780750306539,,HB,GBP,49.99,902A14,,,CRC,Physics,AVAILABLE
9780750307475,,HB,GBP,49.99,902A14,,,CRC,Physics,Print on Demand
9780750309271,,HB,GBP,39.99,902A14,,,CRC,Physics,AVAILABLE
9780750309769,,HB,GBP,49.99,902A14,,,CRC,Physics,Out Of Print
9780750310253,,PB,GBP,29.99,902A14,,,CRC,Physics,Print on Demand
9780789007261,,HB,INR,2995.00,902A14,,,Social Sciences,"Tourism, Hospitality and Events Manageme",Print on Demand
9780789019141,,HB,INR,1495.00,902A14,,,Social Sciences,"Tourism, Hospitality and Events Manageme",Print on Demand
9780789020871,,PB,INR,1495.00,902A14,,,Social Sciences,"Tourism, Hospitality and Events Manageme",AVAILABLE
9780789027719,,PB,INR,1495.00,902A14,,,Social Sciences,"Tourism, Hospitality and Events Manageme",Print on Demand
9780805834147,,HB,INR,4995.00,902A14,,,Psych Press,Social Psychology,Print on Demand
9780805854770,,HB,INR,4995.00,902A14,,,Psych Press,Social Psychology,Print on Demand
9780824701857,,HB,INR,4995.00,902A14,,,CRC,Mathematics,Print on Demand
9780824703745,,PB,INR,4995.00,902A14,,,CRC,Mathematics,Print on Demand
9780824703882,,HB,INR,4995.00,902A14,,,CRC,Mathematics,Order To Order
9780824703967,,HB,INR,4995.00,902A14,,,CRC,Mathematics,Print on Demand
9780824704247,,HB,INR,4995.00,902A14,,,CRC,Mathematics,Print on Demand
9780824704605,,PB,INR,4995.00,902A14,,,CRC,Mathematics,Print on Demand
9780824704650,,PB,INR,3995.00,902A14,,,CRC,Computer Science,Print on Demand
9780824704810,,PB,INR,4995.00,902A14,,,CRC,Mathematics,Print on Demand
9780824706098,,PB,INR,4995.00,902A14,,,CRC,Mathematics,Order To Order
9780824706579,,PB,INR,4995.00,902A14,,,CRC,Mathematics,Order To Order
9780824706739,,PB,INR,4995.00,902A14,,,CRC,Mathematics,Print on Demand
9780824706920,,HB,INR,1995.00,902A14,,,CRC,Chemistry,Print on Demand
9780824707033,,HB,INR,4495.00,902A14,,,CRC,Materials & Chemical Engineering,Print on Demand
9780824707293,,PB,INR,4995.00,902A14,,,CRC,Mathematics,Order To Order
9780824708672,,HB,INR,995.00,902A14,,,CRC,Materials & Chemical Engineering,Print on Demand
9780824709495,,HB,INR,4995.00,902A14,,,CRC,Mathematics,Order To Order
9780824709686,,PB,INR,4995.00,902A14,,,CRC,Mathematics,Order To Order
9780824709853,,PB,INR,4995.00,902A14,,,CRC,Mathematics,Print on Demand
9780824711597,,PB,INR,4995.00,902A14,,,CRC,Mathematics,Print on Demand
9780824714840,,HB,INR,3995.00,902A14,,,CRC,Mathematics,Print on Demand
9780824716776,,PB,INR,4995.00,902A14,,,CRC,Mathematics,Order To Order
9780824717490,,PB,INR,4995.00,902A14,,,CRC,Mathematics,Print on Demand
9780824723378,,PB,INR,4995.00,902A14,,,CRC,Mathematics,Print on Demand
9780824725792,,HB,INR,1995.00,902A14,,,CRC,Biomedical Engineering,AVAILABLE
9780824742546,,HB,INR,4995.00,902A14,,,CRC,Civil & Mechanical Engineering,Order To Order
9780824746971,,PB,INR,4995.00,902A14,,,CRC,Mathematics,Order To Order
9780824747831,,HB,INR,3995.00,902A14,,,CRC,Life Science,Print on Demand
9780824748760,,HB,INR,2995.00,902A14,,,CRC,Civil & Mechanical Engineering,Print on Demand
9780824750336,,HB,INR,4995.00,902A14,,,CRC,Mathematics,Order To Order
9780824754013,,PB,INR,4995.00,902A14,,,CRC,Mathematics,Print on Demand
9780824765019,,PB,INR,4995.00,902A14,,,CRC,Mathematics,Print on Demand
9780824769499,,PB,INR,4995.00,902A14,,,CRC,Mathematics,Print on Demand
9780824771225,,PB,INR,4995.00,902A14,,,CRC,Mathematics,Print on Demand
9780824786533,,PB,INR,3995.00,902A14,,,CRC,Mathematics,Print on Demand
9780824786663,,PB,INR,4995.00,902A14,,,CRC,Mathematics,Print on Demand
